producer,producerStageOrder,consumer,consumerStageOrder,producerStorageType,producerTasksPerNode,consumerStorageType,consumerTasksPerNode,SPM,estT_prod,estT_cons
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,36,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,50,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,52,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,54,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,57,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,58,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,59,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-individuals_merge,0.5,individuals_merge,1.0,tmpfs,60,tmpfs,1,0.007059479699570792,0.0,0.007059479699570792
stage_in-frequency,0.5,frequency,1.0,beegfs,5,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,10,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,15,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,20,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,30,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,35,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,36,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,50,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,52,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,54,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,57,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,58,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,59,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-frequency,0.5,frequency,1.0,beegfs,60,beegfs,1,0.01094049622092655,0.0,0.01094049622092655
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,5,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,10,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,15,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,20,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,30,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,35,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
stage_in-individuals_merge,0.5,individuals_merge,1.0,beegfs,36,beegfs,1,0.024399890962709957,0.0,0.024399890962709957
